"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-0.6","","-9.7","","-5.2","","23.2","","0.0","","0.0","","1.0","","0.8","","9","","","","<31",""
"2014-01-02","2014","01","02","‡","8.5","","-10.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","11","","27","","52",""
"2014-01-03","2014","01","03","‡","3.0","","-11.0","","-4.0","","22.0","","0.0","","0.0","","7.8","","5.8","","8","","36","","54",""
"2014-01-04","2014","01","04","‡","-11.0","","-21.9","","-16.5","","34.5","","0.0","","0.0","","1.0","","0.2","","14","","35","","44",""
"2014-01-05","2014","01","05","‡","-14.4","","-25.5","","-20.0","","38.0","","0.0","","0.0","T","0.0","","0.0","T","14","","36","","52",""
"2014-01-06","2014","01","06","‡","3.4","","-14.8","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","10","","29","","33",""
"2014-01-07","2014","01","07","‡","-3.0","","-9.9","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","8","","18","","32",""
"2014-01-08","2014","01","08","‡","5.8","","-11.4","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","8","","28","","50",""
"2014-01-09","2014","01","09","‡","4.6","","-6.8","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","7","","27","","59",""
"2014-01-10","2014","01","10","‡","2.2","","-7.7","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","27","","44",""
"2014-01-11","2014","01","11","‡","7.8","","-9.9","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","4","","27","","83",""
"2014-01-12","2014","01","12","‡","2.5","","-8.3","","-2.9","","20.9","","0.0","","0.0","","2.9","","1.2","","4","","25","","59",""
"2014-01-13","2014","01","13","‡","6.0","","-5.9","","0.1","","17.9","","0.0","","0.0","","2.8","","2.6","","8","","","M","87",""
"2014-01-14","2014","01","14","‡","8.6","","-8.3","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","8","","26","","76",""
"2014-01-15","2014","01","15","‡","9.0","","-0.3","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","3","","25","","67",""
"2014-01-16","2014","01","16","‡","9.1","","-3.3","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","2","","21","","32",""
"2014-01-17","2014","01","17","‡","9.8","","-0.5","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","2","","28","","48",""
"2014-01-18","2014","01","18","‡","12.8","","-4.2","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","25","","50",""
"2014-01-19","2014","01","19","‡","6.6","","-2.0","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","35","","39",""
